,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,frederiksberg,55.68,12.53,44.6,87,75,14.99,DK,2020-12-07 21:29:14
1,dover,39.16,-75.52,37.4,55,40,10.29,US,2020-12-07 21:25:44
2,klaksvik,62.23,-6.59,37.4,69,95,13.87,FO,2020-12-07 21:29:14
3,nikolskoye,59.7,30.79,26.01,67,0,6.71,RU,2020-12-07 21:29:14
4,dobrljin,45.15,16.48,41.0,86,0,3.36,BA,2020-12-07 21:27:02
5,rikitea,-23.12,-134.97,75.36,80,0,15.61,PF,2020-12-07 21:29:14
6,saint-philippe,-21.36,55.77,75.2,78,0,4.7,RE,2020-12-07 21:29:14
7,kapaa,22.08,-159.32,82.4,69,40,13.87,US,2020-12-07 21:29:15
8,avarua,-21.21,-159.78,82.4,74,22,9.17,CK,2020-12-07 21:29:15
9,busselton,-33.65,115.33,59.0,76,5,5.01,AU,2020-12-07 21:29:15
10,mbanza-ngungu,-5.25,14.87,71.06,93,100,2.19,CD,2020-12-07 21:29:15
11,atuona,-9.8,-139.03,79.02,74,1,18.7,PF,2020-12-07 21:29:15
12,georgetown,5.41,100.34,80.6,88,20,2.24,MY,2020-12-07 21:29:15
13,clocolan,-28.91,27.57,65.91,50,34,4.54,ZA,2020-12-07 21:29:15
14,luganville,-15.53,167.17,80.6,78,75,2.24,VU,2020-12-07 21:29:15
15,suntar,62.14,117.63,-16.13,88,58,1.21,RU,2020-12-07 21:29:16
16,tucuma,-0.18,-50.05,81.01,78,100,8.16,BR,2020-12-07 21:29:16
17,oum hadjer,13.3,19.7,78.42,17,18,8.57,TD,2020-12-07 21:29:16
18,port elizabeth,-33.92,25.57,68.0,94,2,23.04,ZA,2020-12-07 21:26:56
19,albany,42.6,-73.97,30.0,59,73,3.0,US,2020-12-07 21:29:16
20,kruisfontein,-34.0,24.73,70.0,90,20,1.01,ZA,2020-12-07 21:29:17
21,sao joao dos patos,-6.5,-43.7,80.37,65,27,3.06,BR,2020-12-07 21:29:17
22,weligama,5.97,80.42,76.06,86,26,2.66,LK,2020-12-07 21:29:18
23,mataura,-46.19,168.86,64.0,68,2,5.01,NZ,2020-12-07 21:29:18
24,sorland,67.67,12.69,39.34,80,100,20.42,NO,2020-12-07 21:29:18
25,ushuaia,-54.8,-68.3,50.0,76,75,13.87,AR,2020-12-07 21:27:58
26,ponta do sol,32.67,-17.1,59.0,77,20,5.82,PT,2020-12-07 21:29:18
27,ribeira grande,38.52,-28.7,60.8,59,75,12.75,PT,2020-12-07 21:29:18
28,jamestown,42.1,-79.24,30.0,73,90,6.93,US,2020-12-07 21:29:19
29,bukama,-9.2,25.85,70.7,89,67,1.68,CD,2020-12-07 21:29:19
30,poum,-20.23,164.02,79.88,79,44,11.45,NC,2020-12-07 21:29:19
31,sao filipe,14.9,-24.5,75.47,75,90,12.03,CV,2020-12-07 21:29:19
32,irbil,36.19,44.01,41.0,56,0,2.19,IQ,2020-12-07 21:29:19
33,salme,28.04,85.09,53.6,93,75,2.24,NP,2020-12-07 21:29:19
34,mecca,21.43,39.83,72.7,31,0,6.6,SA,2020-12-07 21:29:19
